"start_month","length_months","window","pct_1990_1994","pct_2020_2024","change_pct","fog_days_1990_1994"
"Oct",11,"OctNovDecJanFebMarAprMayJunJulAug",7.01,4.44,-36.6,235
"Sep",9,"SepOctNovDecJanFebMarAprMay",8.53,5.41,-36.5,233
"Sep",10,"SepOctNovDecJanFebMarAprMayJun",7.72,4.91,-36.4,234
"Aug",9,"AugSepOctNovDecJanFebMarApr",8.49,5.41,-36.3,232
"Oct",10,"OctNovDecJanFebMarAprMayJunJul",7.66,4.89,-36.1,233
"Jan",2,"JanFeb",11.32,7.24,-36,67
"Sep",8,"SepOctNovDecJanFebMarApr",9.5,6.11,-35.7,230
"Oct",8,"OctNovDecJanFebMarAprMay",9.38,6.04,-35.6,228
"Oct",9,"OctNovDecJanFebMarAprMayJun",8.38,5.41,-35.4,229
"May",11,"MayJunJulAugSepOctNovDecJanFebMar",6.89,4.47,-35.1,231
"Oct",7,"OctNovDecJanFebMarApr",10.6,6.92,-34.7,225
"Jul",9,"JulAugSepOctNovDecJanFebMar",8.28,5.43,-34.4,227
"Jun",10,"JunJulAugSepOctNovDecJanFebMar",7.5,4.93,-34.3,228
"Nov",11,"NovDecJanFebMarAprMayJunJulAugSep",5.72,3.77,-34.1,191
"Apr",11,"AprMayJunJulAugSepOctNovDecJanFeb",6.55,4.34,-33.8,219
"Aug",8,"AugSepOctNovDecJanFebMar",9.17,6.08,-33.7,223
"Sep",7,"SepOctNovDecJanFebMar",10.41,6.97,-33.1,221
"Apr",9,"AprMayJunJulAugSepOctNovDec",5.53,3.71,-32.9,152
"Nov",10,"NovDecJanFebMarAprMayJunJulAug",6.11,4.11,-32.8,186
"May",7,"MayJunJulAugSepOctNov",5.05,3.41,-32.4,108
"Mar",11,"MarAprMayJunJulAugSepOctNovDecJan",6.14,4.15,-32.4,207
"Nov",9,"NovDecJanFebMarAprMayJunJul",6.73,4.57,-32.1,184
"Oct",6,"OctNovDecJanFebMar",11.86,8.06,-32,216
"Nov",7,"NovDecJanFebMarAprMay",8.44,5.79,-31.3,179
"Nov",8,"NovDecJanFebMarAprMayJun",7.43,5.12,-31.2,180
"May",10,"MayJunJulAugSepOctNovDecJanFeb",6.9,4.76,-31,210
"Jul",5,"JulAugSepOctNov",6.8,4.71,-30.8,104
"Jun",6,"JunJulAugSepOctNov",5.74,3.99,-30.5,105
"Nov",6,"NovDecJanFebMarApr",9.71,6.78,-30.2,176
"Jul",8,"JulAugSepOctNovDecJanFeb",8.47,5.92,-30.2,206
"Jun",9,"JunJulAugSepOctNovDecJanFeb",7.58,5.3,-30,207
"Dec",3,"DecJanFeb",11.31,7.96,-29.6,102
"Aug",7,"AugSepOctNovDecJanFeb",9.52,6.73,-29.3,202
"Aug",4,"AugSepOctNov",8.2,5.82,-29,100
"May",8,"MayJunJulAugSepOctNovDec",5.84,4.16,-28.7,143
"Sep",6,"SepOctNovDecJanFeb",11.04,7.88,-28.6,200
"Sep",3,"SepOctNov",10.77,7.8,-27.6,98
"Apr",10,"AprMayJunJulAugSepOctNovDecJan",6.08,4.41,-27.4,186
"Oct",5,"OctNovDecJanFeb",12.9,9.38,-27.3,195
"Jul",6,"JulAugSepOctNovDec",7.55,5.49,-27.3,139
"Jun",7,"JunJulAugSepOctNovDec",6.54,4.77,-27.1,140
"Nov",5,"NovDecJanFebMar",11.04,8.12,-26.4,167
"Aug",5,"AugSepOctNovDec",8.82,6.54,-25.9,135
"Sep",4,"SepOctNovDec",10.9,8.2,-24.8,133
"Oct",2,"OctNov",15.25,11.48,-24.7,93
"May",9,"MayJunJulAugSepOctNovDecJan",6.41,4.89,-23.7,177
"Oct",3,"OctNovDec",13.91,10.76,-22.7,128
"Jul",7,"JulAugSepOctNovDecJan",8.05,6.23,-22.5,173
"Jun",8,"JunJulAugSepOctNovDecJan",7.1,5.51,-22.4,174
"Aug",6,"AugSepOctNovDecJan",9.18,7.23,-21.3,169
"Sep",5,"SepOctNovDecJan",10.92,8.69,-20.4,167
"Nov",4,"NovDecJanFeb",12.15,9.8,-19.3,146
"Oct",4,"OctNovDecJan",13.17,10.73,-18.5,162
"Dec",1,"Dec",11.29,9.35,-17.1,35
"Dec",2,"DecJan",11.13,10,-10.1,69
"Nov",2,"NovDec",12.95,12.3,-5.1,79
"Nov",3,"NovDecJan",12.28,11.74,-4.4,113
"Jan",1,"Jan",10.97,10.65,-2.9,34
"Jun",1,"Jun",0.33,0.33,0,1
"Nov",1,"Nov",14.67,15.33,4.5,44
